LOINC Code,Number of Relations
LA17133-2,92
LA7462-0,91
LA18200-8,89
LA10561-1,88
LA17759-4,88
LA29576-8,83
LA16973-2,81
LP99755-8,81
LA7454-7,80
MTHU020851,78
LA22096-4,75
LP247924-6,74
LA10580-1,73
LA16914-6,72
LP156489-9,72
LP31567-8,72
LA7416-6,71
LA15423-9,70
LA20642-7,70
LA15419-7,68
LA16997-1,68
LP16666-7,68
LP20697-6,67
LP208397-2,67
LA16666-2,66
LA21208-6,66
LA9568-2,66
LP209028-2,66
MTHU007377,65
LP128693-1,64
LP20512-7,64
LA26146-3,63
LP20778-4,63
LA14272-1,62
MTHU021191,62
LP33972-8,60
75322-8,59
LA16658-9,58
LA16827-0,58
LA17073-0,58
LA19711-3,58
LA24844-5,58
LA26658-7,58
LA7413-3,58
LA9541-9,58
LP76084-0,58
LA17768-5,57
LP191287-4,57
LA17773-5,56
LA19340-1,56
LP121767-0,56
LA6437-3,55
LA7431-5,55
LP28580-6,55
LP31403-6,54
LA12069-3,53
LA16302-4,53
LA20940-5,53
LP267219-6,53
LP73412-6,53
LA22282-0,51
LA30523-7,51
LP221399-1,51
LP75985-9,51
LP7628-3,51
54511-1,50
LA17344-5,49
LA7439-8,49
LA7463-8,49
LP121701-9,49
LA19576-0,48
LA22156-6,47
LP220354-7,47
LA7433-1,46
LP100607-3,46
LP145896-9,46
LA19119-9,45
LA17983-0,44
LA24801-5,42
LP206702-5,41
LP28573-1,41
LA15312-4,40
LA6215-3,40
LP208109-1,40
LP96286-7,40
LA18034-1,39
LA24789-2,39
LP207124-1,38
LP28475-9,38
LP95311-4,38
LA11900-0,37
LA4332-8,37
LP19165-7,37
LA24637-3,36
LA26027-5,36
LP202889-4,36
MTHU020645,36
LA24667-0,35
LA7438-0,34
LP57573-5,33
LP7091-4,33
MTHU020822,33
LA9540-1,32
LP150153-7,32
LA12703-7,31
LA16652-2,31
LA16989-8,31
LA17637-2,31
LA19581-0,31
LA10582-7,30
LA15158-1,30
54538-4,29
LA17099-5,29
LA7461-2,29
LP121741-5,29
LP14855-8,29
LP200256-8,29
LA10451-5,28
LA10481-2,28
LA10493-7,28
LA17068-0,28
LA20368-9,28
LA30125-1,28
LA7453-9,28
LA10535-5,27
LA7450-5,27
LA15805-7,26
LA7432-3,26
LP222112-7,26
LP73697-2,26
LP99346-6,26
LA16984-9,25
LA7445-5,25
LA10429-1,23
LA16352-9,23
LA20088-3,23
LA25410-4,22
LA27499-5,22
LA9209-3,22
LP30560-4,22
LP31561-1,22
LA22669-8,21
LA25321-3,21
LP19998-1,21
LP34045-2,21
LA15157-3,20
LP145904-1,20
LP14639-6,20
54540-0,19
LA10591-8,19
LA25274-4,19
LA29198-1,19
LP190655-3,19
LA6576-8,18
LP7078-1,18
MTHU000078,18
LA15309-0,17
LA18006-9,17
LA8928-9,17
LP15851-6,17
LP266737-8,17
LA10579-3,16
LA7436-4,16
LA7546-0,16
LP145911-6,16
LP32605-5,16
LP35080-8,16
LA10520-7,15
LA17784-2,15
LP28596-2,15
MTHU020782,15
LA10510-8,14
LA14544-3,14
LA4255-1,14
LA6218-7,14
LA9269-7,14
LP17126-1,14
LP32812-7,14
LP6886-8,14
LP7687-9,14
LA18262-8,13
LA20583-3,13
LA6577-6,13
LA9447-9,13
LG41632-7,13
LP14629-7,13
LP18640-0,13
LP264350-2,13
LP31396-2,13
56872-5,12
LA11875-4,12
LA28314-5,12
LA3926-8,12
LG41640-0,12
LP14738-6,12
LP20917-8,12
MTHU021177,12
LA16615-9,11
LA18116-6,11
LA18950-8,11
LA19577-8,11
LA19832-7,11
LA24947-6,11
LA4012-6,11
LP16676-6,11
MTHU021535,11
MTHU029814,11
LA10484-6,10
LA11919-0,10
LA12677-3,10
LA15216-7,10
LA17709-9,10
LA19674-3,10
LA19699-0,10
LA22664-9,10
LA24849-4,10
LA25323-9,10
LA25349-4,10
LA27858-2,10
LA4277-5,10
LA4457-3,10
LA6530-5,10
LP231632-3,10
LP32941-4,10
LA10581-9,9
LA10585-0,9
LA13524-6,9
LA17098-7,9
LA22668-0,9
LA24492-3,9
LA24692-8,9
LA29194-0,9
LA30302-6,9
LA4245-2,9
LA8916-4,9
LA9436-2,9
LP100623-0,9
LP101941-5,9
LP16070-2,9
LP28815-6,9
LP34750-7,9
LP6557-5,9
MTHU020933,9
72070-6,8
72072-2,8
LA10452-3,8
LA15163-1,8
LA15174-8,8
LA15426-2,8
LA16306-5,8
LA18496-2,8
LA24058-2,8
LA24755-3,8
LA24786-8,8
LA26555-5,8
LA27511-7,8
LA8983-4,8
LA9367-9,8
LP200001-8,8
LA10477-0,7
LA15156-5,7
LA15417-1,7
LA17571-3,7
LA17612-5,7
LA26033-3,7
LA26553-0,7
LA28139-6,7
LA3901-1,7
LA8948-7,7
LP100632-1,7
LP101956-3,7
LP19460-2,7
LP21208-1,7
LP265795-7,7
LP267221-2,7
LP96315-4,7
MTHU013516,7
LA10495-2,6
LA12111-3,6
LA12304-4,6
LA14123-6,6
LA15306-6,6
LA16474-1,6
LA17003-7,6
LA17057-3,6
LA18419-4,6
LA19207-2,6
LA20332-5,6
LA22439-6,6
LA24760-3,6
LA26023-4,6
LA26796-5,6
LA8981-8,6
LA9032-9,6
LP101921-7,6
LP121693-8,6
LP128503-2,6
LP16822-6,6
LP262855-2,6
LP30275-9,6
LP75931-3,6
LA10554-6,5
LA10569-4,5
LA11864-8,5
LA12679-9,5
LA14744-9,5
LA15824-8,5
LA19643-8,5
LA20362-2,5
LA27861-6,5
LA28420-0,5
LA3973-0,5
LA4259-3,5
LA6676-6,5
LP14446-6,5
LP145909-0,5
LP192134-7,5
LP267357-4,5
LP28578-0,5
LP29290-1,5
LA10511-6,4
LA10514-0,4
LA12884-5,4
LA14962-7,4
LA17016-9,4
LA17127-4,4
LA17262-9,4
LA17981-4,4
LA18360-0,4
LA18721-3,4
LA19064-7,4
LA19244-5,4
LA20067-7,4
LA22278-8,4
LA22279-6,4
LA22651-6,4
LA24562-3,4
LA24862-7,4
LA25411-2,4
LA25843-6,4
LA26113-3,4
LA26680-1,4
LA27491-2,4
LA27841-8,4
LA28580-1,4
LA29193-2,4
LA4306-2,4
LA6436-5,4
LA7321-8,4
LA7449-7,4
LA8996-6,4
LA9424-8,4
LA9532-8,4
LA9571-6,4
LG32757-3,4
LP148741-4,4
LP15704-7,4
LP16686-5,4
LP16707-9,4
LP17733-4,4
LP189769-5,4
LP20769-3,4
LP20770-1,4
LP21247-9,4
LP267364-0,4
LP28595-4,4
LP30522-4,4
LP343941-3,4
LP36131-8,4
LP57604-8,4
LP6847-0,4
LP72549-6,4
MTHU000271,4
LA10502-5,3
LA10532-2,3
LA14039-4,3
LA17100-1,3
LA17666-1,3
LA18005-1,3
LA20354-9,3
LA23815-6,3
LA24778-5,3
LA7165-9,3
LA7411-7,3
LP136161-9,3
LP14635-4,3
LP189521-0,3
LP28517-8,3
LA10431-7,2
LA10438-2,2
LA10446-5,2
LA10560-3,2
LA11209-6,2
LA11877-0,2
LA11878-8,2
LA14084-0,2
LA14275-4,2
LA14289-5,2
LA14704-3,2
LA15302-5,2
LA16207-5,2
LA16274-5,2
LA16388-3,2
LA16549-0,2
LA16656-3,2
LA16691-0,2
LA16719-9,2
LA16999-7,2
LA17085-4,2
LA17108-4,2
LA17335-3,2
LA17661-2,2
LA17775-0,2
LA17811-3,2
LA18225-5,2
LA19067-0,2
LA19208-0,2
LA19209-8,2
LA19329-4,2
LA19782-4,2
LA20350-7,2
LA20352-3,2
LA21012-2,2
LA21228-4,2
LA21780-4,2
LA24641-5,2
LA24649-8,2
LA24759-5,2
LA25042-5,2
LA25276-9,2
LA25373-4,2
LA26010-1,2
LA26418-6,2
LA26517-5,2
LA30529-4,2
LA3874-0,2
LA4684-2,2
LA7471-1,2
LA7477-8,2
LA9194-7,2
LA9284-6,2
LP100613-1,2
LP101395-4,2
LP102368-0,2
LP102526-3,2
LP115762-9,2
LP124832-9,2
LP14671-9,2
LP14795-6,2
LP14844-2,2
LP15400-2,2
LP16724-4,2
LP173544-0,2
LP17809-2,2
LP18319-1,2
LP18628-5,2
LP199926-9,2
LP199963-2,2
LP199987-1,2
LP200049-7,2
LP20005-2,2
LP200321-0,2
LP20152-2,2
LP20743-8,2
LP209029-0,2
LP21243-8,2
LP221194-6,2
LP230189-5,2
LP234854-0,2
LP248328-9,2
LP249806-3,2
LP263432-9,2
LP263828-8,2
LP28481-7,2
LP28807-3,2
LP32747-5,2
LP34863-8,2
LP35057-6,2
LP35082-4,2
LP6139-2,2
LP6186-3,2
LP6879-3,2
LP7141-7,2
LP7403-1,2
LP76010-5,2
LP7720-8,2
MTHU020584,2
MTHU021238,2
